date,time,type,title,description,speakers,room
2015-03-05,4:30 p.m. - 5:30 p.m.,Panel,Teaching data journalism: Your best ideas,"*Moderated by Brant Houston, University of Illinois and MaryJo Webster, USA TODAY

What works best when teaching college-level computer-assisted reporting or data journalism courses? Find out in this session featuring a series of 5-minute lightning talks dedicated to teaching students how to use data in journalism. Instructors will highlight successful approaches, best teaching techniques and data for students - and more. Here is the lineup of speakers and talks:

•Matt Waite, University of Nebraska-Lincoln: How to teach data visualization using LEGOS

•Karl Idsvoog, Kent State University: Examples of data that students can relate to

•Chris Canipe, The Wall Street Journal: How to use baseball cards to introduce students to JSON.

•Chad Skelton, Kwantlen Polytechnic University: The ""Human Pivot Table"" exercise

•Jonathan Soma, Columbia University (Lede Program): The importance of teaching failure

•Derek Willis, The New York Times: An exercise that shows students that data analysis doesn't always have to involve numbers

•Jeff South, Virginia Commonwealth University: Having students write Data Drop Briefs, rather than stories

•Norm Lewis, University of Florida: Using Clery Act data to kick off the semester

•Emily Withrow, Northwestern University: The ""Unclass"" model","Brant Houston, MaryJo Webster",International 4-5
2015-03-05,4:30 p.m. - 5:30 p.m.,Hands-on,Make the command line work for you (on Windows),"If you've never touched the little black box on your computer known as the command line, you're ignoring an extremely helpful tool. In this session we'll use Windows Powershell to get started on making the command line a handy tool in your data toolbelt.

This session is good for: Newbies to the command line who are brave enough to dive into the guts of their computer. Most but not all of this session’s content translates to Macs. If you're a Mac user, see ""Taking command of the command line.""",Liz Lucas,M105
2015-03-05,4:30 p.m. - 5:30 p.m.,Demo,Let’s find the open and unsecured,"This session will detail the story of how two journalist for the first time physically tested the data security in an entire country - the creepy and dangerous reality. Imagine being able to control your neighbor's webcam, open your competitor's database or take control of vital control systems with a few keystrokes. The Norwegian newspaper Dagbladet did just that. Here we will reveal how easily this can be done – even for amateurs. Come to this session and learn how you, without any knowledge, can detect and locate unsecured devices connected to the Internet in your country or state.

This session is good for: Anyone.",Espen Sandli,International 10
2015-03-05,4:30 p.m. - 5:30 p.m.,Panel,Investigating business with data,"Businesses raise and spend trillions of dollars, build and tear down property, file for patents and copyrights, set up complex partnerships, sue and get sued, and otherwise file reams of documents every year. With all that activity, they leave plenty of marks for journalists to follow. Take your stories beyond the usual sources and learn how to dig through data for business investigations.

This session is good for: Anyone. Beginner and advanced data users welcome.","John Schoen, Andrea Fuller",International 6-7
2015-03-06,8 a.m. - 5 p.m.,Special Event,Conference registration (Friday),Registration will be located on the International Level of the Atlanta Marriott Marquis.,,International Foyer
2015-03-06,8 a.m. - 5 p.m.,Special Event,Conference sales (Friday),"Stop by the IRE sales table and take a look at our merchandise. We will be selling books, the large selection of titles we carry will certainly include your interests. The winner of the IRE T-shirt contest will be displayed and on sale.",,International Foyer
2015-03-06,9 a.m. - 10 a.m.,Hands-on,Map like a pro with ArcGIS Online,"We all live in a realm of data. But sometimes, spreadsheets and databases aren't the best way to tell your story. Take a hands-on tour of the redesigned ArcGIS Online to see how you can easily create intelligent maps in minutes. Learn how the new Smart Mapping feature in ArcGIS Online can help you investigate patterns in your data and easily create beautiful data visualizations, even if you've never worked with maps or GIS before. If you can use an Internet browser, you can create award-winning maps.

Prerequisites: None. This class is for anyone who wants to create online maps, whether they're a seasoned pro or a complete novice. You'll walk away with the knowledge you need to go back to your newsroom and start making maps immediately.","Brian Peterson, Robby Deming",M104
2015-03-06,9 a.m. - 10 a.m.,Hands-on,Amazon cloud basics,"Cloud servers are an amazingly flexible way to use computing resources. Servers and test benches used to take weeks to order and configure, but thanks to the cloud, you can build up arbitrarily complex farms of computers to do your bidding in a few minutes, from serving a dynamic news app to crunching through a data set to trying out a new technology on the cheap. This course will help you understand the thicket of acronyms and programs that make up Amazon's AWS system and will get you started building servers.

All you need is a normal Amazon account. Before the class, go to http://aws.amazon.com/ and click ""sign up,"" and follow the instructions so you've got an account ready. Important note: We'll build actual servers and then turn them off, which may cost a few dollars.",Scott Klein,M109
2015-03-06,9 a.m. - 10 a.m.,Hands-on,Getting started in Excel,"In this introduction to spreadsheets you'll begin analyzing data with Excel, a simple but powerful tool. You'll learn how to enter data, sort it and conduct simple calculations like average and median. Time allowing, you'll even learn to create a basic Google map using data from spreadsheets.

This session is good for: Data beginners. It will be most useful if you have a Google account.",Helena Bengtsson,M103
2015-03-06,9 a.m. - 10 a.m.,Hands-on,Fusion Tables for beginners,"Welcome to Google Fusion Tables. In this hands-on introduction to the free online tool you'll learn how to import and combine data, do simple analysis and easily turn that into an online map. We'll explore using Fusion Table as a toolbox for reporting and online storytelling.

This session will be most useful if: You've ever used a spreadsheet and you have a Google account.",Kate Martin,M106
2015-03-06,9 a.m. - 10 a.m.,Panel,VR for the NICAR world: Immersive data,"The rush of professional journalists to Virtual Reality has been prompted by the mass market debut of the Samsung Gear and the imminent release of Oculus Rift's consumer headset. But it's a new field with plenty of open questions.

This session will lay out the groundwork for the discussion, orient participants in the landscape, introduce them to the technologies that will become relevant in the near future, and shine a light on a forward path.

We’ll set up the framework so we have a common language to collaborate, we’ll trot through some examples and technologies of interest to data-heavy journalists, we’ll see how VR might fit into a tradition of graphic communication and take a look forward to the near-field innovations that will keep developing the medium. And finally, we’ll look at some code-based tools that can generate VR at low costs.","Robert Hernandez, Fergus Pitt, Brian Chirls",International 4-5
2015-03-06,9 a.m. - 10 a.m.,Hands-on,Github 101: The basics,"GitHub is the best place to share code with friends, co-workers, classmates, and complete strangers. At its core, GitHub is a source-code host, but the platform can be used for sharing and collaborating on anything from government data to prose.

Learn the basics about how to collaborate around code, prose and more with GitHub. All participants will collaborate on real projects using GitHub.com and GitHub Desktop clients. We'll cover GitHub features like Forks, Pull Requests and Issues, and learn how to use Markdown to create text files. GitHub is based on Git, a version control system, so we'll also cover key Git topics, such as repositories, commits and branches.

This is for new GitHub users: no coding experience is required for this workshop. Already know the basics? Check out the GitHub 201 workshop for leveling up with the command line.","Jessica Lord, Anna Wiener",M101
2015-03-06,9 a.m. - 10 a.m.,Demo,Moonshining: Indexes pack high-proof explanatory power,Distilling a mess of data gives it extra kick and smooths its way across the user's palate. Learn how to calculate a dozen indexes useful in local journalism. Also: When to adapt an index or even consider crafting your own.,Paul Overberg,International 10
2015-03-06,9 a.m. - 10 a.m.,Panel,Bridging the developer/journalist gap,What are the values that drive coders and non-coders in news organizations? How can we bring these sometimes disparate tribes together to serve our common goal -- telling great stories?,"Anthony DeBarros, Maureen Linke, Chrys Wu",International 8-9
2015-03-06,9 a.m. - 10 a.m.,Panel,The year in CAR,"What were the big stories of the year? What were the most creative uses of data analysis? See what your colleagues have been up to and pick up some story ideas at the same time.

This session is good for: Anyone.","Megan Luther, Alex Richards",International 6-7
2015-03-06,9 a.m. - 10 a.m.,Panel,The new ecosystem of health care data,"The world of health data is changing rapidly, with the release of huge data sets by the Centers for Medicare and Medicaid Services and the Food and Drug Administration. This session will provide an introduction to this data, along with story ideas about how to mine it and create news apps that help customize the information for your audience.

This session is good for: Anyone.","Dan Keating, Charles Ornstein, Meghan Hoyer",International 2-3
2015-03-06,9 a.m. - 12:20 p.m.,Hands-on,Build your first news app *pre-registered attendees only,"This mini-boot camp will walk you through the process of building a simple, useful online news application from a dataset. You will get hands-on experience in every stage of the development process, writing Python, HTML and JavaScript using version control tools. You won't stop until you've deployed a working application onto the World Wide Web. Preregistration is required and seating is limited. Sessions will be held on Friday and Saturday morning. Laptops will be provided for the training.

**Prerequisites: If you have a good attitude and know how to take a few code crashes in stride, you are qualified for this class.

Attendees must be registered for the conference to attend this workshop.

NOTE: Registration is required for this session. Click here to sign up.","Ben Welsh, Derek Willis",M102
2015-03-06,9 a.m. - 10 a.m.,Hands-on,Useful command line tools for reporters,"Get the most out of your Windows computer by leveraging the command line. We'll introduce the terminal and use it to do basic data transformation and analysis with Python, SQL and other tools./p>

This session is geared toward beginning to intermediate users and will provide very high-level overviews of topics covered.",Matt Kiefer,M107
2015-03-06,9 a.m. - 10 a.m.,Special Event,NICAR Commons: Conversations - Leaving journalism,"Leaving the journalism fold for the wider world of data and software. The software and IT world appears to be teeming with jobs that, for the most part, pay more (sometimes much much more) and are often more secure. Has anyone else contemplated making that jump? Some journalists started out in that world before making their way into the media; what is that change like? Is there a better or worse way to go about thinking about switching industries? How would an interested party pursue it?

*Joe Kokenge",,International Foyer
2015-03-06,9 a.m. - 10 a.m.,Hands-on,Regular expressions for beginners,"Regular expressions are a powerful and compact way to slice, dice and clean up dirty data. They may look intimidating, but they're a must-know skill for anyone who works with data. We'll learn the fundamentals of regex and look at some real-world examples you can use when you get home.

This session is good for those with some experience working with data in spreadsheets and/or database managers.",Abraham Hyatt,M105
2015-03-06,10:10 a.m. - 11:10 a.m.,Hands-on,Getting started with Python,"New to Python (or programming in general)? We'll get you started with an overview of the basics, plus plenty of code examples you can put to use right away.

This session is good for: People who know their way around a computer and are ready to dive into programming.",Jackie Kazil,M107
2015-03-06,10:10 a.m. - 11:10 a.m.,Panel,Watchdogging public spending,"*Moderated by Nicole Vap, KUSA/9News Denver

Governments at all levels spend a lot of money. And politicians often talk about eliminating waste and fraud. In this session you will hear how journalists used data to ""follow the money"" to see whether it is being spent well. With topics ranging from public employee pay to municipal bonds, you'll get plenty of story ideas, tips and sources for doing your own data-driven ""waste"" investigations.","Joanna Lin, Mike Maciag, Cezary Podkul, Nicole Vap",International 6-7
2015-03-06,10:10 a.m. - 11:10 a.m.,Hands-on,Data alchemy,"Ever get a load of PDF files back when you wanted data? Ever download shapefiles in esoteric projections? Encoding issues? This hands-on workshop will teach data-savvy users how they can get usable, analyzable data out of what would otherwise be considered junk (or a headache).","Mike Tigas, Jeremy B. Merrill, Eric Sagara",M105
2015-03-06,10:10 a.m. - 11:10 a.m.,Hands-on,Using formulas in Excel,"Much of Excel's power comes in the form of formulas. In this class you'll learn how to use them to analyze data with the eye of a journalist. Yes, math will be involved, but it's totally worth it! This class will show you how calculations like change, percent change, rates and ratios can beef up your reporting.

This session is good for: Data beginners.",John Schoen,M103
2015-03-06,10:10 a.m. - 11:10 a.m.,Panel,Thinking about interactivity,"*Moderated by Robert Hernandez, University of Southern California-Annenberg","Robert Hernandez, Mariana Santos, Trina Chiasson, Melissa Bell",International 4-5
2015-03-06,10:10 a.m. - 11:10 a.m.,Special Event,NICAR Commons: Conversations - Let's get real about pay,"In an open and OTR environment we'll discuss the taboo -- how much people make, how we can be more honest about this issue, and the empowerment of knowing what you make in your office relative to others. In particular, we'll discuss how secrecy around compensation contributes to and maintains the gender/race wage gap.

*Nikole Hannah-Jones",,International Foyer
2015-03-06,10:10 a.m. - 11:10 a.m.,Hands-on,Making timelines,"Displaying a series of events can be as simple as drawing a straight line. But if you want to get fancier, there are a bunch of other options to display chronologies and storylines. In this talk, we'll take a tour of current timelines in the wild and walk you through three open-source tools to help you make your own: ProPublica's TimelineSetter, Zach Wise's TimelineJS, and WNYC's Vertical Timeline.

No prerequisites.",Lena Groeger,M104
2015-03-06,10:10 a.m. - 11:10 a.m.,Hands-on,First steps with R (repeat session),"Take your first steps with powerful, open-source statistical language R by learning some of the basic skills you need to get up and running with R. By the end of this session, you will be able to take raw data, import it into R, and start your analysis. Topics that will be covered include: basic data importing, working with directories, reading in data, installing packages, as well as how to clean, explore and sort data. We'll also talk about how to find help when you're stuck.

This session will be most helpful if: you have experience working with data.",Annie Waldman,M106
2015-03-06,10:10 a.m. - 11:10 a.m.,Panel,Visual journalism for tiny news desks,"How can a small news team thin on resources produce awesome graphics on the regular? Where do design and data best practices break down for newsrooms with little manpower? How do you decide what story format works best under shifting deadlines? This session will take a close look at how a handful of small and medium newsrooms are building visually striking stories (maps, charts, immersive interactives) on a shoestring, going behind the scenes of some recent examples. Join this session and pick up tips, tools, and best practices to take back to your newsroom.

This session will be most helpful if:

You work in a small newsroom that wants to do more visual storytelling

You work in a newsroom without a graphics team and want to do more visual storytelling

You want to incorporate more visual/interactive elements into your own reporting

You produce graphics (static or interactive) for your newsroom and are looking for ways to improve how you work with the rest of the newsroom","Kaeti Hinck, Jaeah Lee, Aaron Williams",International 2-3
2015-03-06,10:10 a.m. - 11:10 a.m.,Hands-on,Crowdsourcing with Google Forms,"Learn how to create a simple Web-based form to gather information and save it in a Google spreadsheet. No programming skills needed. Journalists can use Google Forms to crowdsource data, story tips, polls, and other information from readers and viewers. In addition, Google Forms can be used internally as a collaborative tool to collect information and data from everyone involved in a news story.

Prerequisite: Please have a Gmail account set up before the class.",Doug Haddix,M109
2015-03-06,10:10 a.m. - 11:10 a.m.,Demo,Introducing Geomancer: Don’t let your data be lonely tonight,"Geomancer is a tool with a simple and powerful purpose: to make it easier for journalists on deadline to add context to their data sets by finding and merging geographically related data. Have a set of county-level data and want to add demographic data for those counties? That's the sort of thing Geomancer is built to help you do. Geomancer is free, open-source and built to be extended, so you can install Geomancer for your newsroom and start adding your favorite geographically tagged data. Join us for a walkthrough of the tool, an overview of the installation process and a peek into what it takes to add new data sources to your Geomancer.","Derek Eder, Troy Thibodeaux, Serdar Tumgoren",International 10
2015-03-06,10:10 a.m. - 11:10 a.m.,Hands-on,How I learned to take command of the command line: A journalist's guide to getting started,"This hands-on session aims to help command line novices learn some basic commands that can help them every day, including navigating through directories, creating files and tools to look at and work with structured data. If you're familiar with grep and curl this will likely be review. We'll end by highlighting some command line libraries that are musts for reporters. and provide additional resources so participants can go deeper on their own.","Chris Keller, AJ Vicens, Jue Yang",M101
2015-03-06,10:10 a.m. - 11:10 a.m.,Panel,Red alert: Tools to automatically generate story leads,"We'll give you ideas how to use technology to automatically check court records, financial filings, property sales, government contracts, news feeds and other websites for news. We will show off several easy-to-use tools, like Google Alerts and RSS readers, to monitor news feeds. And we'll talk about how to write your own custom programs to check records and generate story leads.

This session is good for: Reporters covering a beat and programmers who want to help them.","Abe Handler, Thomas Thoren, Todd Wallack",International 8-9
2015-03-06,11:20 a.m. - 12:20 p.m.,Panel,Color (and shape and place) my world,"Mapping can be all about finding the signal in the noise, and then choosing what to emphasize. This session will cover ways to improve your maps by making smart editorial choices with the display, how to properly use an economy of color, and other ways to retain clarity when communicating with your audience.","Jim Herries, Robert Simmon",International 2-3
2015-03-06,11:20 a.m. - 12:20 p.m.,Hands-on,Visualizing your data with R,"Once you've taken your first steps with R, the open-source statistics software, learn how to explore your data with box plots, scatterplots and histograms. Find patterns, amaze your friends and awe your editors!",Ronald Campbell,M106
2015-03-06,11:20 a.m. - 12:20 p.m.,Hands-on,PivotTables in Excel,"A look at the awesome power of pivot - and how to use it to analyze your dataset in minutes rather than hours.

This session will be most helpful if: You are familiar with formulas in Excel or another spreadsheet program.",Jonathan Stoneman,M103
2015-03-06,11:20 a.m. - 12:20 p.m.,Demo,Demo: Tools for cracking PDFs,"So much data comes to us in .pdf form or, worse, on paper that we then need to scan. We'll offer tips, tricks and best practices to quickly crack open those dastardly files and get the data in a usable format. We'll look at some of classic methods of breaking down PDFs and we'll discuss docHive and Tabula, tools developed by fellow NICARians that can help liberate data.

This session is good for: Anyone.","Miguel Barbosa, Kevin Crowe",International 10
2015-03-06,11:20 a.m. - 12:20 p.m.,Panel,Machine learning in the wild -- #wins and #fails,"For several years, machine learning has been a tantalizing Siren for reporters, promising to sort through your documents and find the juicy ones, or providing a road map to the people and places in your collection. After a few experiments in the wild, we'll help separate myth from truth, unpack the confusing language of the discipline and provide tips about when it might, and might not, serve your stories.

The panel is good for: Anyone. No statistics or math required. This session will be most useful if you are seeking new methods in reporting original stories.","Sarah Cohen, Steven Rich, Janet Roberts",International 6-7
2015-03-06,11:20 a.m. - 12:20 p.m.,Hands-on,Web scraping using Python,"This session will cover the fundamentals of web scraping using the Python scripting language. We'll go through which libraries are best to integrate into your scraper as you write it; show you how to handle common issues that can come up when you're capturing data; and discuss how to get your results into a usable format when you're all done.

This session will be most useful if: You have a grounding in the basics of Python or another programming language.",Paul Schreiber,M101
2015-03-06,11:20 a.m. - 1:30 p.m.,Panel,Jobs and career straight-talk: For (and by) young'uns only,"Have questions on how to break into the field or get a paid internship/job? Simple or impolitic ones that you couldn't ask a boss or hiring manager/editor? Questions about newsroom ""culture"" or the tacit knowledge required to network or interview for a job? Sisi Wei and Jeremy Merrill, both less than four years out of undergrad, will be giving students and early-career journalists any knowledge and job-seeking advice they need to help them become designer/developer/data journalists. We'll also pair you up with other young, employed grads for a few rounds of speed Q&A so you can get different perspectives and a chance to ask questions in in a small group or one-on-one.

To make this a safe space to ask silly questions, we're asking mid-career journalists and people with hiring power not to attend. Non-young'uns and young'uns-at-heart who are trying to enter the field laterally are welcome to join, but the session will be geared towards the experience of recent graduates (including generally-applicable job search and resume tips), so it may not be as helpful to you.","Jeremy B. Merrill, Sisi Wei",International 8-9
2015-03-06,11:20 a.m. - 12:20 p.m.,Special Event,NICAR Commons: Conversations - Handling side projects,"Handling side projects. Whether you're a student looking to build up a portfolio or a journalist interested in building something that doesn't quite fit your day job, how do you scope/plan/delegate time/collaborate with others on things that you love outside of normal work hours?

*Nicole Zhu",,International Foyer
2015-03-06,11:20 a.m. - 12:20 p.m.,Hands-on,Simple stats in Excel,"You don't need a special statistics program to run simple statistics. In this session, you'll learn how to compute some basic statistics in Excel and figure out what they mean.

This session will be most helpful if: You already are comfortable with using functions in Excel.",Olga Pierce,M105
2015-03-06,11:20 a.m. - 12:20 p.m.,Hands-on,Introduction to web programming,"We all know we need to learn Python, but what if you don't even know how that HTML page hooks up to your JavaScript and CSS? In a very crammed hour, we will first see how the Internet goes together, then do a flyover of HTML and CSS. In the second half hour we will build a simple JavaScript-fueled news app, inspired by ProPublica's Acetaminophen dose calculator: http://projects.propublica.org/drug-labels/. Ours might not have as much impact as a ProPublica piece, but you'll learn a lot.",Peggy Bustamante,M104
2015-03-06,11:20 a.m. - 12:20 p.m.,Hands-on,Github 101: The basics (repeat session),"GitHub is the best place to share code with friends, co-workers, classmates, and complete strangers. At its core, GitHub is a source-code host, but the platform can be used for sharing and collaborating on anything from government data to prose.

Learn the basics about how to collaborate around code, prose and more with GitHub. All participants will collaborate on real projects using GitHub.com and GitHub Desktop clients. We'll cover GitHub features like Forks, Pull Requests and Issues, and learn how to use Markdown to create text files. GitHub is based on Git, a version control system, so we'll also cover key Git topics, such as repositories, commits and branches.

This is for new GitHub users: no coding experience is required for this workshop. Already know the basics? Check out the GitHub 201 workshop for leveling up with the command line.","Jessica Lord, Anna Wiener",M107
2015-03-06,11:20 a.m. - 12:20 p.m.,Panel,Local data that can lead to stories,"If governments oversee it, chances are they keep data on it. From police traffic stops and 911 calls to employee salaries and gun permits, local data can drive in-depth investigations and give context to breaking news stories.","Walker Moskop, Lee Zurik, Gavin Off",International 4-5
2015-03-06,11:20 a.m. - 12:20 p.m.,Hands-on,Grabbing data from websites without scraping (repeat session),"We'll show you how to get websites to give up structured data. Programming knowledge isn't required but you'll learn why it's good to have. Required software is just a web browser and some free tools and add-ons we'll tell you about.

Prerequisites: Solid excel. Sneakiness and Nosiness.","Scott Klein, Michelle Minkoff",M109
2015-03-06,12:20 p.m. - 1:20 p.m.,Special Event,NICAR Commons: Conversations - Building a diverse pipeline,"I'm not going to do your recruiter's job, but I *really* do want to help you build a diverse pipeline of data journalists, digital journalists, etc.. By now, most people have figured out that it's worth attempting to hire more women and more journalists of color. But forwarding your job link to a Designated Diverse Friend isn't enough. Would love to hear how others have successfully not just changed their recruitment, but changed their newsroom culture about diversity. And offer up my own resources and tips (starting with: what's the best way to ask your Designated Diverse Friend for his/her help).

*Emma Carew Grovum",,International Foyer
2015-03-06,2:10 p.m. - 4:20 p.m.,Hands-on,Mini Boot Camp *pre-registered attendees only,"Kickstart your data skills with IRE's original mini-boot camp.  This series of hands-on classes will introduce you to spreadsheets and databases with IRE's proven techniques. IRE's experienced trainers will walk you through sorting, calculating and interviewing data.  You'll come away with a solid base for using data analysis in your own newsroom.

In addition, we'll provide you with our boot camp materials to help keep you on track long after you leave the conference.  Preregistration is required and seating is limited. Sessions will be held Friday and Saturday afternoon and Sunday morning. Laptops will be provided for the training.

**This workshop is good for: Those wanting to get started analyzing data for stories. There are no prerequisites for this workshop and beginners are welcome.

Attendees must be registered for the conference to attend this workshop.","Megan Luther, Jaimi Dowdell",M103/M105
2015-03-06,2:10 p.m. - 3:10 p.m.,Hands-on,Intro to D3,"Learn the basics of using D3 to make customized, elegant data visualizations. This JavaScript library gives you the power to draw online by harnessing the power of SVGs. We'll explain what makes D3 so great and demonstrate a step-by-step guide for making a chart that you can put to work in your own newsroom.

This session is good for: Those with some JavaScript knowledge.","Christopher Canipe, Jon McClure",M107
2015-03-06,2:10 p.m. - 3:10 p.m.,Hands-on,Getting data into Excel,"Don't let hard-to-use data ruin your day. Learn how to import a variety of formats (such as text files, HTML tables, PDFs) into Excel.

This session will be most useful if: You are familiar with Excel or another spreadsheet program.",Patti DiVincenzo,M106
2015-03-06,2:10 p.m. - 3:10 p.m.,Hands-on,Getting started with JavaScript,"In this workshop, you'll learn not only basic JavaScript fundamentals, but some larger programming fundamentals, too. You'll learn about variables, if/else logic, functions and more. You'll also learn about JavaScript programming shortcuts using JavaScript libraries, such as jQuery. You'll also be shown examples of projects built using JavaScript, so you'll know what is possible.",Andy Boyle,M109
2015-03-06,2:10 p.m. - 3:10 p.m.,Hands-on,Advanced Django for data analysis,"You might be familiar with Django's use as a framework for building front-facing webapps, but it can be equally useful as a tool for reporting on and exploring datasets. In this session we'll go beyond the basics of the web framework to walk you through modeling and loading data from a CSV, querying the data, and writing views for analysis and publication.

This session will be most helpful if: You've made it through the Django tutorial and/or built your first news app. Familiarity with SQL will help.","Armand Emamdjomeh, Anthony Pesce",M101
2015-03-06,2:10 p.m. - 3:10 p.m.,Special Event,"NICAR Commons: Drones, the FAA and you",The FAA is finally going to make drones for journalism a reality. But what is the FAA proposing? And what can you do about it? Come learn how the FAA's drone rules will affect you and how you can talk back to the agency.,Matthew Waite,International Foyer
2015-03-06,2:10 p.m. - 3:10 p.m.,Panel,Using data to detect environmental dangers,"*Moderated by Ingrid Lobet, independent journalist

You smell an environmental problem, there are powerful anecdotes, you've tracked down the subject matter experts. But you're not sure how to truthsquad what they say. You've pressed officials to find out what data is available. But you don't have to stop there, you can go further. Learn how to analyze data in ways the regulators aren't doing, and to turn hard-won but boring environmental data into visuals and writing that make people pay attention.

This session is good for: Anyone. Attendees can expect to come away with story ideas and data sources.","Caelainn Barr, Michael Corey, Robert Gebeloff, Ingrid Lobet",International 2-3
2015-03-06,2:10 p.m. - 3:10 p.m.,Demo,"Scraping, APIs and data extraction","We'll take a look at a variety of issues and techniques for web scraping including: How to deal with limitations in scraping from Google, Facebook and LinkedIn? How to scrape data and social media content using API's. Challenges and different approaches in dealing with repeated scraping, as well as smaller-scale and big data scrapes. And how to scrape for stories - not just data.

This session is good for: Anyone. Experienced data users and beginners are welcome.","Cedric Sam, Nils Mulvad",International 10
2015-03-06,2:10 p.m. - 3:10 p.m.,Panel,Stat-a-thon,"*Moderated by Jennifer LaFleur, The Center for Investigative Reporting

Can your R beat up my SPSS? When it comes to stats, there are many tools. There are many tools for doing statistical analysis, but does every tool yield the same results? What are the pros and cons of each program? We'll run the same data through different tools and find out. Our stat-letes will use R, SPSS, Pandas, SAS and Excel.

This session is good for: Folks with a basic understanding of stats","Agustin Armendariz, David Donald, Holly Hacker, Dan Keating, Sharon Machlis, Jennifer LaFleur",International 6-7
2015-03-06,2:10 p.m. - 3:10 p.m.,Panel,"Critical questions to ask of studies, press releases and scientific reports","Confused by p values and effect sizes? Unsure about what peer review really means? Reluctant to challenge Dr. Famous with potentially insulting questions? We'll provide tips for using expert sources, documentary research and common sense to separate the scientific wheat from the chaff.

This session is good for: Anyone.","Peter Aldhous, Ronald Campbell, Patricia Thomas",International 4-5
2015-03-06,2:10 p.m. - 3:10 p.m.,Hands-on,Teach yourself to code,"When you don't know anything about learning to code, it can seem like a daunting task. Fortunately, the Internet is stock-full of examples and answers to help you.

In this class, we'll share tips on how to teach yourself to code by working with others' code, reverse-engineering example code to make it do what you want, and adapting open source libraries. In the process, we'll demo browser dev tools to show you how to inspect work by other outlets and see how websites function the behind the scenes. We'll also demonstrate how those same tools can help you inspect webpages you've built to fix problems and test how the website will look on various devices. The class will focus on sharing tips on reading and reverse-engineering others' code; finding answers to tricky questions and code examples on StackOverflow, CSSTricks, CodePen etc.; and pulling down and using GitHub repos from other news outlets.

Requirements: Code curiosity and a stubborn devotion to figuring out how things work. It's recommended that you set up a (free) Github account ahead of time and complete Code School's free courses on HTML/CSS, Javascript and Git.",Becca Aaronson,M102
2015-03-06,2:10 p.m. - 3:10 p.m.,Panel,Life after Excel and Access - the next steps in data journalism,This panel features several data experts from traditional beat reporting backgrounds who will talk about their professional development experiences. What was their next steps after learning the basics of data reporting? How did they discover and learn new tools? How can reporters lobby in their newsrooms for time to learn new tools?,"Helena Bengtsson, Ryann Grochowski Jones, Eric Sagara",International 8-9
2015-03-06,2:10 p.m. - 3:10 p.m.,Hands-on,Mapbox,"In this introduction to Mapbox and its suite of tools, we'll walk you through two ways to create a responsive, interactive map—first, in TileMill/Mapbox Studio and second, using just the Mapbox/Leaflet API. We'll discuss the pros and cons of both and get you comfortable with the docs so you'll be a master mapmaker in no time.

This session will be most useful if: You have a basic understanding of javascript, CSS and html.",Sarah Frostenson,M104
2015-03-06,3:20 p.m. - 4:20 p.m.,Panel,Spotlight: Using abstraction to gain knowledge from numbers,"Visualizations are abstractions—graphical representations of quantities and concepts. Effective graphics are the result of carefully chosen abstractions, and often rely on transforming the underlying data to maximize the strengths and mitigate the weaknesses of our visual system.",Robert Simmon,International 8-9
2015-03-06,3:20 p.m. - 4:20 p.m.,Hands-on,Playing with Arduino,"Learn how to make simple, interactive projects using Arduino hardware. We'll walk through a couple of easy projects to give you a feel for what's possible. Open to anyone who likes to play and make things blink. We'll have a few Arduinos on hand to share, or you can bring your own. (The parts we're using are here and here, and cost about $30 total.) We won't be soldering and no previous coding experience required. Bring a laptop if you can.",John Keefe,M107
2015-03-06,3:20 p.m. - 4:20 p.m.,Panel,Free tools,"A breathless tour of the universe of free software that's available to help import, summarize, manage, graph and map your data. From statistical analysis in R and Python to geospatial analysis in QGIS, PostGIS, and Spatialite, we've got the tools for you.

This session is good for: Journalists held back by a shoestring software budget.","Alex Richards, Marco Tulio Pires, Natalia Mazotte",International 6-7
2015-03-06,3:20 p.m. - 4:20 p.m.,Hands-on,GitHub 201: Leveling up with the command line,"This workshop is for people who are already familiar with GitHub and version control, and want to dive a little deeper. We'll cover how to use Git on the command line, how the GitHub Flow supports team collaboration and deployments, and overall best practices.

All participants will have a chance to experiment with using Git on the command line. We'll also cover common (and uncommon) patterns and use cases around collaborating with GitHub, and explore features such as Forks, Pull Requests, Issues, Mentions, publishing, and more.

Completely new to version control? See the GitHub 101 workshop and follow it up with this workshop!","Jessica Lord, Anna Wiener",M102
2015-03-06,3:20 p.m. - 4:20 p.m.,Panel,Data behind the news,,Andrew Fogg,International 4-5
2015-03-06,3:20 p.m. - 4:20 p.m.,Hands-on,Analyzing networks with Gephi,"Gephi is an open source platform for network analysis (aka social network analysis), allowing you to produce publication-quality vector graphics and to export your analyses for interactive online visualization. You'll learn how to use the software by turning data on voting patterns in the US Senate into an informative graphic revealing the chamber's underlying dynamics -- and highlighting the few senators who broke the partisan mold.

No prior experience of network analysis required.",Peter Aldhous,M106
2015-03-06,3:20 p.m. - 4:20 p.m.,Panel,Deep dives part 2,"*Moderated by John Bones, Verdens Gang

We'll give three journalists a chance to talk about their data-driven projects. Check back here for more information.","John Bones, Mar Cabra, Blake Ellis, Melanie Hicken, John Kelly",International 2-3
